filename,circles
drawn_20260326_054859_741317.png,1
drawn_20260326_054905_038394.png,1
drawn_20260326_054909_332923.png,1
drawn_20260326_054922_904025.png,3
drawn_20260326_055004_531588.png,0
drawn_20260326_055010_353218.png,0
drawn_20260326_055017_276689.png,1
drawn_20260326_055024_484006.png,1
drawn_20260326_055106_943005.png,1
drawn_20260326_055116_573549.png,1
drawn_20260326_055128_131630.png,0
drawn_20260326_055140_459294.png,1
drawn_20260326_055209_536982.png,1
drawn_20260326_055226_096859.png,1
drawn_20260326_055302_325393.png,0
drawn_20260326_055317_360991.png,1
drawn_20260326_055323_448588.png,0
drawn_20260326_055329_569498.png,0
drawn_20260326_055343_566982.png,1
drawn_20260326_055406_666776.png,1
drawn_20260326_055422_254692.png,1
drawn_20260326_055434_581018.png,0
drawn_20260326_055443_518797.png,0
drawn_20260326_055448_140439.png,0
drawn_20260326_055459_535548.png,0
drawn_20260326_055509_768389.png,0
drawn_20260326_055520_771431.png,1
drawn_20260326_055609_465679.png,0
drawn_20260326_055618_381309.png,0
drawn_20260326_055625_027802.png,0
drawn_20260326_055634_191389.png,0
drawn_20260326_055640_141984.png,0
drawn_20260326_055747_504682.png,1
drawn_20260326_055753_215451.png,0
drawn_20260326_055800_708143.png,1
drawn_20260326_055917_532122.png,0
drawn_20260326_060041_231976.png,0
drawn_20260326_060050_220877.png,0
drawn_20260326_060100_016039.png,0
drawn_20260326_060206_939702.png,0
drawn_20260326_060211_691803.png,0
drawn_20260326_060222_418991.png,0
drawn_20260326_060234_136574.png,1
drawn_20260326_060239_414487.png,1
drawn_20260326_060252_234561.png,1
drawn_20260326_060305_422168.png,1
drawn_20260326_060316_614353.png,1
drawn_20260326_060524_198811.png,0
drawn_20260326_060528_496672.png,0
drawn_20260326_060533_863971.png,0
drawn_20260326_060538_944580.png,0
drawn_20260326_060544_805558.png,0
drawn_20260326_060557_095416.png,0
drawn_20260326_060613_857266.png,1
drawn_20260326_060634_617713.png,3
