filename,circles
drawn_20260326_053153_186392.png,1
drawn_20260326_053204_973241.png,0
drawn_20260326_053230_163599.png,2
drawn_20260326_053238_104854.png,0
drawn_20260326_053244_436379.png,0
drawn_20260326_053612_325654.png,1
drawn_20260326_053625_099997.png,1
drawn_20260326_053946_544691.png,1
drawn_20260326_054016_192501.png,2
drawn_20260326_054027_005519.png,1
drawn_20260326_054033_215829.png,0
drawn_20260326_054037_189576.png,0
drawn_20260326_054118_453746.png,0
drawn_20260326_054125_532634.png,0
drawn_20260326_054136_003693.png,1
drawn_20260326_054322_965951.png,0
drawn_20260326_054333_074625.png,1
drawn_20260326_054346_854697.png,1
drawn_20260326_054405_627671.png,1
drawn_20260326_054415_957821.png,0
drawn_20260326_054423_264412.png,0
drawn_20260326_054522_618096.png,0
drawn_20260326_054530_724552.png,0
drawn_20260326_054547_769001.png,0
drawn_20260326_054600_024771.png,1
drawn_20260326_054617_438783.png,2
drawn_20260326_054705_384849.png,1
drawn_20260326_054714_334897.png,1
drawn_20260326_054726_425018.png,0
drawn_20260326_054736_597974.png,0
drawn_20260326_055846_699631.png,0
